Dias,T.Media,Temp.Máx,tminima,vmedia_viento ,rachasMax,presionMedia,lluvia
1,9 °C,14 °C,5 °C,2.8 km/h,-- km/h,1031.8 mb,-- mm
2,8 °C,14 °C,2 °C,0.6 km/h,-- km/h,1029 mb,-- mm
3,8 °C,11 °C,5 °C,2.2 km/h,-- km/h,1033.6 mb,1.2 mm
4,10 °C,12 °C,5 °C,2.3 km/h,-- km/h,1036.8 mb,5.6 mm
5,6 °C,7 °C,3 °C,1.8 km/h,-- km/h,1032 mb,-- mm
6,9 °C,13 °C,2 °C,5.7 km/h,-- km/h,1030.1 mb,-- mm
7,11 °C,14 °C,6 °C,2.2 km/h,-- km/h,1032 mb,-- mm
8,11 °C,14 °C,6 °C,1.3 km/h,-- km/h,1029.6 mb,-- mm
9,14 °C,19 °C,8 °C,9.1 km/h,-- km/h,1023.7 mb,4.2 mm
10,10 °C,13 °C,5 °C,5.4 km/h,-- km/h,1032.3 mb,12 mm
11,7 °C,12 °C,3 °C,1.5 km/h,-- km/h,1032.5 mb,-- mm
12,6 °C,13 °C,3 °C,0.5 km/h,-- km/h,1030.5 mb,-- mm
13,14 °C,17 °C,4 °C,5.7 km/h,-- km/h,1017.4 mb,-- mm
14,14 °C,18 °C,12 °C,7 km/h,-- km/h,1015.9 mb,-- mm
15,14 °C,17 °C,10 °C,6.8 km/h,-- km/h,1019.9 mb,-- mm
16,16 °C,18 °C,12 °C,12.4 km/h,-- km/h,1021.3 mb,-- mm
17,11 °C,17 °C,7 °C,12.6 km/h,-- km/h,1028.9 mb,13 mm
18,10 °C,16 °C,6 °C,7.2 km/h,-- km/h,1023.9 mb,7 mm
19,7 °C,9 °C,3 °C,13.2 km/h,-- km/h,1031.9 mb,5.8 mm
20,3 °C,5 °C,1 °C,6.4 km/h,-- km/h,1035.6 mb,-- mm
21,4 °C,6 °C,0 °C,2.5 km/h,-- km/h,1030.6 mb,-- mm
22,8 °C,10 °C,6 °C,2 km/h,-- km/h,1023.2 mb,-- mm
23,10 °C,12 °C,6 °C,1.9 km/h,-- km/h,1019.8 mb,2.2 mm
24,13 °C,16 °C,11 °C,3.1 km/h,-- km/h,1019.4 mb,-- mm
25,12 °C,15 °C,7 °C,2.7 km/h,-- km/h,1017.8 mb,2.6 mm
26,10 °C,14 °C,7 °C,2.4 km/h,-- km/h,1020.5 mb,0.2 mm
27,14 °C,17 °C,8 °C,15.5 km/h,-- km/h,1015.2 mb,1 mm
28,12 °C,14 °C,9 °C,3.6 km/h,-- km/h,1020.3 mb,4.4 mm
29,13 °C,17 °C,6 °C,1.2 km/h,-- km/h,1020 mb,1 mm
30,17 °C,20 °C,13 °C,5.9 km/h,-- km/h,1018.7 mb,2.6 mm
31,16 °C,19 °C,13 °C,2.3 km/h,-- km/h,1019.1 mb,-- mm
